Year,N_ISR,N_AUTHORS,N_M,N_F,FA
,,,,,
1999,1,3,3,0,M
,,,,,
2000,1,1,1,0,M
,,,,,
2000,2,6,3,3,M
,,,,,
2000,3,2,1,1,M
,,,,,
2000,4,4,3,1,M
,,,,,
2000,5,2,1,1,F
,,,,,
2000,6,2,1,1,F
,,,,,
2000,7,2,1,1,F
,,,,,
2000,8,3,1,2,F
,,,,,
2000,9,2,1,1,F
,,,,,
2000,10,4,4,0,M
,,,,,
2000,19,3,2,1,F
,,,,,
2001,1,2,1,1,F
,,,,,
2001,2,4,3,1,M
,,,,,
2001,3,2,1,1,F
,,,,,
2001,4,2,1,1,M
,,,,,
2001,6,2,2,0,M
,,,,,
2001,7,2,2,0,M
,,,,,
2001,9,1,0,1,F
,,,,,
2001,10,2,1,1,F
,,,,,
2001,11,2,2,0,M
,,,,,
2001,12,1,1,0,M
,,,,,
2001,13,1,0,1,F
,,,,,
2001,14,2,2,0,M
,,,,,
2001,15,2,1,1,F
,,,,,
2001,16,3,3,0,M
,,,,,
2001,17,3,3,0,M
,,,,,
2001,18,3,3,0,M
,,,,,
2001,19,3,2,1,F
,,,,,
2001,20,3,2,1,M
,,,,,
2002,1,1,0,1,F
,,,,,
2002,2,1,1,0,M
,,,,,
2002,4,2,2,0,M
,,,,,
2002,5,1,1,0,M
,,,,,
2002,6,3,2,1,M
,,,,,
2002,7,1,1,0,M
,,,,,
2002,8,1,1,0,M
,,,,,
2002,9,1,1,0,M
,,,,,
2002,10,1,0,1,F
,,,,,
2002,11,2,1,1,F
,,,,,
2002,12,3,3,0,M
,,,,,
2002,13,1,1,0,M
,,,,,
2003,1,1,1,0,M
,,,,,
2003,2,2,1,1,F
,,,,,
2003,5,2,2,0,M
,,,,,
2003,6,3,2,1,M
,,,,,
2003,7,4,3,1,F
,,,,,
2003,8,1,0,1,F
,,,,,
2003,9,2,2,0,M
,,,,,
2003,10,3,2,1,M
,,,,,
2003,11,2,1,1,F
,,,,,
2003,12,1,1,0,M
,,,,,
2003,13,4,2,2,M
,,,,,
2003,14,1,1,0,M
,,,,,
2004,1,2,1,1,F
,,,,,
2004,2,1,1,0,M
,,,,,
2004,3,1,1,0,M
,,,,,
2004,4,1,1,0,M
,,,,,
2004,5,1,1,0,M
,,,,,
2004,6,1,1,0,M
,,,,,
2004,7,1,0,1,F
,,,,,
2004,8,1,1,0,M
,,,,,
2004,9,1,1,0,M
,,,,,
2004,10,1,1,0,M
,,,,,
2004,11,3,2,1,F
,,,,,
2004,12,2,1,1,M
,,,,,
2004,13,2,1,1,M
,,,,,
2004,14,1,1,0,M
,,,,,
2005,1,1,1,0,M
,,,,,
2005,2,2,2,0,M
,,,,,
2005,3,1,1,0,M
,,,,,
2005,4,1,1,0,M
,,,,,
2005,5,5,4,1,F
,,,,,
2005,6,2,2,0,M
,,,,,
2005,7,3,3,0,M
,,,,,
2005,8,1,0,1,F
,,,,,
2005,9,1,0,1,F
,,,,,
2005,10,1,1,0,M
,,,,,
2005,11,1,1,0,M
,,,,,
2005,12,3,3,0,M
,,,,,
2005,13,2,1,1,M
,,,,,
2005,14,1,1,0,M
,,,,,
2005,15,1,1,0,M
,,,,,
2005,16,2,2,0,M
,,,,,
2005,17,3,3,0,M
,,,,,
2005,18,1,1,0,M
,,,,,
2005,19,1,1,0,M
,,,,,
2005,20,2,1,1,M
,,,,,
2005,21,1,1,0,M
,,,,,
2005,22,1,1,0,M
,,,,,
2005,23,2,1,1,M
,,,,,
2005,24,2,1,1,M
,,,,,
2005,25,2,2,0,M
,,,,,
2005,26,1,1,0,M
,,,,,
2005,27,2,2,0,M
,,,,,
2005,28,1,1,0,M
,,,,,
2005,29,2,2,0,M
,,,,,
2005,30,2,2,0,M
,,,,,
2006,1,1,1,0,M
,,,,,
2006,2,2,2,0,M
,,,,,
2006,3,1,1,0,M
,,,,,
2006,4,2,1,1,M
,,,,,
2006,5,2,1,1,F
,,,,,
2006,6,2,2,0,M
,,,,,
2007,1,5,3,2,F
,,,,,
2007,2,5,3,2,F
,,,,,
2007,3,5,3,2,F
,,,,,
2007,4,6,5,1,F
,,,,,
2007,5,1,1,0,M
,,,,,
2007,6,1,1,0,M
,,,,,
2007,7,1,1,0,M
,,,,,
2007,8,1,1,0,M
,,,,,
2007,9,1,1,0,M
,,,,,
2007,10,1,1,0,M
,,,,,
2007,11,1,0,1,F
,,,,,
2007,12,1,1,0,M
,,,,,
2007,13,1,1,0,M
,,,,,
2007,14,1,0,1,F
,,,,,
2007,15,1,0,1,F
,,,,,
2007,16,1,1,0,M
,,,,,
2007,17,1,1,0,M
,,,,,
2007,18,1,1,0,M
,,,,,
2007,19,1,0,1,F
,,,,,
2007,20,1,1,0,M
,,,,,
2007,21,1,1,0,M
,,,,,
2007,22,2,1,1,F
,,,,,
2007,23,1,1,0,M
,,,,,
2007,24,1,1,0,M
,,,,,
2007,25,1,1,0,M
,,,,,
2007,26,1,1,0,M
,,,,,
2007,27,2,1,1,M
,,,,,
2007,28,1,1,0,M
,,,,,
2007,29,1,1,0,M
,,,,,
2008,1,1,0,1,F
,,,,,
2008,2,1,1,0,M
,,,,,
2008,3,1,1,0,M
,,,,,
2008,4,1,1,0,M
,,,,,
2008,5,1,1,0,M
,,,,,
2008,6,1,1,0,M
,,,,,
2008,7,1,1,0,M
,,,,,
2008,8,1,1,0,M
,,,,,
2008,9,1,1,0,M
,,,,,
2008,10,3,2,1,M
,,,,,
2008,11,1,1,0,M
,,,,,
2008,12,1,0,1,F
,,,,,
2008,13,1,0,1,F
,,,,,
2008,15,4,4,0,M
,,,,,
2008,16,4,4,0,M
,,,,,
2008,17,1,0,1,F
,,,,,
2008,19,1,1,0,M
,,,,,
2008,20,1,1,0,M
,,,,,
2008,21,1,0,1,F
,,,,,
2008,22,1,1,0,M
,,,,,
2008,23,1,1,0,M
,,,,,
2008,24,1,1,0,M
,,,,,
2008,25,1,1,0,M
,,,,,
2008,26,1,1,0,M
,,,,,
2008,28,1,1,0,M
,,,,,
2008,30,1,1,0,M
,,,,,
2008,31,1,1,0,M
,,,,,
2008,32,1,1,0,M
,,,,,
2008,33,2,1,1,M
,,,,,
2008,37,1,1,0,M
,,,,,
2008,38,1,1,0,M
,,,,,
2008,39,1,1,0,M
,,,,,
2008,40,1,1,0,M
,,,,,
2008,41,1,1,0,M
,,,,,
2008,42,4,2,2,M
,,,,,
2008,44,1,1,0,M
,,,,,
2008,45,2,2,0,M
,,,,,
2008,46,5,3,2,F
,,,,,
2008,47,1,0,1,F
,,,,,
2008,48,1,1,0,M
,,,,,
2008,49,1,1,0,M
,,,,,
2008,50,1,1,0,M
,,,,,
2009,1,4,4,0,M
,,,,,
2009,2,1,1,0,M
,,,,,
2009,3,1,0,1,F
,,,,,
2009,4,3,3,0,M
,,,,,
2009,5,11,8,3,M
,,,,,
2009,6,18,12,6,F
,,,,,
2009,7,18,11,7,M
,,,,,
2009,8,22,14,8,F
,,,,,
2009,9,4,2,2,F
,,,,,
2009,10,4,3,1,F
,,,,,
2009,11,2,1,1,M
,,,,,
2009,12,2,1,1,M
,,,,,
2009,13,9,6,3,F
,,,,,
2009,15,1,1,0,M
,,,,,
2009,16,2,0,2,F
,,,,,
2009,17,4,4,0,M
,,,,,
2009,18,4,4,0,M
,,,,,
2009,19,1,0,1,F
,,,,,
2009,20,1,0,1,F
,,,,,
2009,21,2,2,9,M
,,,,,
2009,22,1,1,0,M
,,,,,
2009,23,2,2,0,M
,,,,,
2009,24,2,0,2,F
,,,,,
2009,25,1,1,0,M
,,,,,
2009,26,2,0,2,F
,,,,,
2009,27,3,1,2,F
,,,,,
2009,28,1,0,1,F
,,,,,
2009,29,2,0,2,F
,,,,,
2009,32,1,1,0,M
,,,,,
2009,33,7,4,3,F
,,,,,
2009,34,6,4,2,F
,,,,,
2009,35,3,2,1,F
,,,,,
2009,36,3,2,1,F
,,,,,
2009,37,1,1,0,M
,,,,,
2009,38,1,1,0,M
,,,,,
2009,39,3,1,2,M
,,,,,
2009,40,3,2,1,F
,,,,,
2009,41,7,4,3,M
,,,,,
2009,42,1,1,0,M
,,,,,
2009,43,1,1,0,M
,,,,,
2009,44,1,1,0,M
,,,,,
2009,45,3,2,1,M
,,,,,
2009,46,3,2,1,M
,,,,,
2009,47,3,1,2,M
,,,,,
2010,1,1,1,0,M
,,,,,
2010,2,2,1,1,M
,,,,,
2010,3,2,1,1,M
,,,,,
2010,4,1,1,0,M
,,,,,
2010,6,3,3,0,M
,,,,,
2010,7,1,1,0,M
,,,,,
2010,8,7,4,3,M
,,,,,
2010,9,3,2,1,M
,,,,,
2010,10,3,2,1,M
,,,,,
2010,11,3,1,2,F
,,,,,
