Year,N_ISR,N_AUTHORS,N_M,N_F,FA,,
2018,10,3,2,1,M,,
2018,9,NA,NA,NA,F,,
2018,8,1,1,0,M,,
2018,7,5,2,3,M,,
2018,6,1,1,0,M,,
2018,5,1,1,0,M,,
2018,4,1,1,0,M,,
2018,3,1,1,0,M,,
2018,2,2,2,0,M,,
2018,1,1,1,0,M,,
2017,23,1,1,0,M,,
2017,22,1,1,0,M,,
2017,21,1,1,0,M,,
2017,20,5,2,3,F,,
2017,19,NA,NA,NA,F,,
2017,18,1,1,0,M,,
2017,17,3,2,1,M,,
2017,16,6,3,3,F,,
2017,15,1,1,0,M,,
2017,14,2,2,0,M,,
2017,13,1,0,1,F,,
2017,12,2,2,0,M,,
2017,11,2,2,0,M,,
2017,10,NA,NA,NA,F,,
2017,9,2,2,0,M,,
2017,8,1,0,1,F,,
2017,7,1,0,1,F,,
2017,6,3,0,3,F,,
2017,5,3,2,1,M,,
2017,4,11,8,3,F,,
2017,3,2,0,2,F,,
2017,2,4,0,4,F,,
2017,1,1,0,1,F,,
2016,15,9,5,4,M,,
2016,14,2,2,0,M,,
2016,13,NA,NA,NA,F,,
2016,12,1,0,1,F,,
2016,11,2,2,0,M,,
2016,10,1,0,1,F,,
2016,9,1,1,0,M,,
2016,8,1,1,0,M,,
2016,7,2,2,0,M,,
2016,6,1,0,1,F,,
2016,5,2,2,0,M,,
2016,4,15,10,5,F,,
2016,3,16,11,5,F,,
2016,2,4,2,2,M,,
2016,1,9,6,3,F,,
2015,5,3,2,1,M,,
2015,6,14,9,5,M,,
2015,3,18,10,8,M,,
2015,2,13,8,5,F,,
2015,1,12,8,4,M,,
2015,7,9,6,3,M,,
2014,2,15,8,7,F,,
2014,1,8,4,4,M,,
2013,9,15,9,6,F,,
2013,8,7,4,3,M,,
2013,7,9,3,6,F,,
2013,6,6,2,4,F,,
2013,5,1,1,0,M,,
2013,4,14,10,4,M,,
2013,3,8,5,3,M,,
2013,2,8,5,3,F,,
2013,1,3,1,2,F,,
2012,1,20,15,5,F,,
2012,2,1,1,0,M,,
2011,1,6,6,0,M,,
2011,2,12,8,4,M,,
2011,3,1,1,0,M,,
2011,4,8,7,1,M,,
2011,5,5,2,3,F,,
2011,6,2,2,0,M,,
2011,7,5,5,0,M,,
2011,8,1,1,0,M,,
2010,1,5,4,1,M,,
2010,2,2,2,0,M,,
2010,3,5,4,1,M,,
2010,4,9,7,2,F,,
2010,5,2,2,0,M,,
2010,6,10,8,2,M,,
2010,7,4,3,1,F,,
2010,8,4,3,1,F,,
2010,9,3,3,0,M,,
2010,10,3,3,0,M,,
2010,11,5,4,1,M,,
2010,12,5,3,2,M,,
2009,1,9,7,2,M,,
2008,1,1,1,0,M,,
2006,1,5,5,0,M,,
2006,2,3,3,0,M,,
